"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...219",0.5,1,0.2,1,0.0158848,-0.00690290000000005,0.0173892,0.0341425000000001,0.0158848,0.00185240000000009,0.00640489999999994,0.0341425000000001,0.00222899999999993,-0.00875530000000013,0.00974799999999998,0.00185240000000009,0.00640489999999994,0.0382767000000001,0.0041658,-0.00875530000000013,0.0159212999999999,-0.00947189999999998,0.0199516,0.0341269000000001,-1.42999999999116e-05,0.00256899999999993
"Ys0...220",0.5,1,0.2,1.5,0.0158952999999999,-0.00714179999999998,0.017744,0.0281440000000001,0.0158952999999999,0.00176969999999999,0.00645830000000003,0.0281440000000001,0.00237419999999999,-0.00891149999999996,0.00954049999999995,0.00176969999999999,0.00645830000000003,0.028733,0.00802720000000001,-0.00891149999999996,0.0159349,-0.00973959999999996,0.0201966,0.0282472,2.39999999995799e-06,0.00259779999999998
"Ys0...221",0.5,1,0.75,-1.5,0.0225946,0.00411499999999998,0.00479639999999992,0.2860459,0.0225946,0.00487919999999997,0.00319599999999998,0.2860459,0.000836199999999954,-0.000764199999999993,0.0232551,0.00487919999999997,0.00319599999999998,0.2875116,-0.00127999999999995,-0.000764199999999993,0.0226636,0.000797699999999901,0.0080112,0.2861751,-9.56999999999208e-05,0.00331730000000008
"Ys0...222",0.5,1,0.75,-1,0.0187845,0.00237360000000009,0.00767549999999995,0.1974486,0.0187845,0.00358440000000004,0.0049823,0.1974486,0.00148239999999999,-0.00121079999999996,0.0164118,0.00358440000000004,0.0049823,0.2079551,-0.00659160000000003,-0.00121079999999996,0.0188292,-0.00354160000000003,0.0134363000000001,0.197322,0.000236299999999967,0.00591520000000012
"Ys0...223",0.5,1,0.75,1,0.0159045,-0.000101999999999935,0.0107596999999999,0.0340277,0.0159045,0.00191200000000002,0.00639810000000007,0.0340277,0.00234759999999989,-0.00201399999999996,0.00970269999999995,0.00191200000000002,0.00639810000000007,0.038314,0.00425900000000001,-0.00201399999999996,0.0159836000000001,-0.00944670000000003,0.0199612,0.0340172,7.45999999999247e-05,0.00934470000000009
"Ys0...224",0.5,1,0.75,1.5,0.0158637,-0.000223399999999985,0.0107857,0.0281397,0.0158637,0.0017161,0.00641009999999997,0.0281397,0.00243610000000005,-0.00193949999999998,0.00952730000000002,0.0017161,0.00641009999999997,0.0287887,0.00797180000000008,-0.00193949999999998,0.0159453000000001,-0.00972830000000002,0.0201988,0.0282135,-6.35999999999415e-05,0.00950490000000004
"Ys0...225",0.5,1.5,-0.75,-1.5,NA,NA,NA,0.3258206,NA,NA,NA,0.3258206,NA,NA,NA,NA,NA,0.3144964,NA,NA,0.0225713999999999,0.00150830000000002,0.00730760000000008,0.32581,NA,NA
"Ys0...226",0.5,1.5,-0.75,-1,NA,NA,NA,0.2286286,NA,NA,NA,0.2286286,NA,NA,NA,NA,NA,0.2297017,NA,NA,0.0184788,-0.00247189999999997,0.0125625,0.2285776,NA,NA
"Ys0...227",0.5,1.5,-0.75,1,NA,NA,NA,0.0350894,NA,NA,NA,0.0350894,NA,NA,NA,NA,NA,0.0409306,NA,NA,0.0158938,-0.00838359999999994,0.0188678999999999,0.0351455000000001,NA,NA
"Ys0...228",0.5,1.5,-0.75,1.5,NA,NA,NA,0.0282509,NA,NA,NA,0.0282509,NA,NA,NA,NA,NA,0.0310728,NA,NA,0.0158526,-0.00866699999999998,0.0192479999999999,0.0282226,NA,NA
"Ys0...229",0.5,1.5,-0.2,-1.5,0.0226156,0.000823800000000041,0.00794479999999997,0.3256865,0.0226156,0.00462870000000004,0.00349500000000003,0.3256865,0.000644899999999948,-0.0038049,0.0238626,0.00462870000000004,0.00349500000000003,0.3143885,0.0106894,-0.0038049,0.022794,0.00119440000000004,0.00742109999999996,0.3257527,-9.15000000000221e-05,-0.000370599999999999
"Ys0...230",0.5,1.5,-0.2,-1,0.0185403,-0.00374999999999992,0.0137524,0.2285121,0.0185403,0.00357039999999997,0.00525319999999996,0.2285121,0.00117880000000015,-0.00732039999999989,0.0165782,0.00357039999999997,0.00525319999999996,0.2295757,0.00208200000000003,-0.00732039999999989,0.0186375999999999,-0.00259799999999999,0.0125397,0.2286737,-0.000198199999999926,-0.00115199999999993
"Ys0...231",0.5,1.5,-0.2,1,0.0159805000000001,-0.0107296,0.0212439999999999,0.0351071000000001,0.0159805000000001,0.00172249999999996,0.00686760000000008,0.0351071000000001,0.00192429999999988,-0.0124521,0.0100773000000001,0.00172249999999996,0.00686760000000008,0.0409855,0.00185979999999997,-0.0124521,0.0159078,-0.00836530000000002,0.0189948000000001,0.0349832,8.14999999999566e-05,-0.00236429999999999
"Ys0...232",0.5,1.5,-0.2,1.5,0.0160136,-0.0109429,0.0214146000000001,0.0282264999999999,0.0160136,0.0015944,0.00686679999999995,0.0282264999999999,0.00201050000000014,-0.0125373,0.00993250000000001,0.0015944,0.00686679999999995,0.0310369,0.00521729999999998,-0.0125373,0.0159139,-0.00873449999999998,0.0192920999999999,0.0281854,5.48999999999689e-05,-0.0022084
"Ys0...233",0.5,1.5,0.2,-1.5,0.0226766,0.00208059999999999,0.00660649999999996,0.3256865,0.0226766,0.00460360000000004,0.00345450000000003,0.3256865,0.00062899999999988,-0.00252300000000005,0.0238801999999999,0.00460360000000004,0.00345450000000003,0.3143885,0.0106764,-0.00252300000000005,0.022794,0.00119440000000004,0.00742109999999996,0.3257527,-0.000112000000000001,0.000886199999999948
"Ys0...234",0.5,1.5,0.2,-1,0.0186744,-0.0012413,0.0111553000000001,0.2286382,0.0186744,0.00353039999999993,0.00522619999999996,0.2286382,0.0011574000000002,-0.00477169999999993,0.0165871000000001,0.00353039999999993,0.00522619999999996,0.2296956,0.00219589999999992,-0.00477169999999993,0.0186318,-0.00256009999999995,0.0124367,0.2287812,-6.30000000000353e-05,0.00131879999999995
"Ys0...235",0.5,1.5,0.2,1,0.0159073000000001,-0.00615450000000006,0.0167184,0.0349969999999999,0.0159073000000001,0.00170300000000001,0.00685959999999997,0.0349969999999999,0.00200129999999998,-0.00785750000000007,0.0100911,0.00170300000000001,0.00685959999999997,0.0409661,0.00179279999999993,-0.00785750000000007,0.0158969,-0.00841100000000006,0.0188986000000001,0.0352087,-0.000125000000000042,0.00225649999999999
"Ys0...236",0.5,1.5,0.2,1.5,0.0159408,-0.00643569999999993,0.0168438,0.0283994,0.0159408,0.00161699999999998,0.00689829999999991,0.0283994,0.00189280000000014,-0.00805269999999991,0.00996089999999994,0.00161699999999998,0.00689829999999991,0.0310346,0.00520920000000002,-0.00805269999999991,0.0159068999999999,-0.00871289999999991,0.0191547,0.0283218,7.78000000000167e-05,0.00227719999999998
"Ys0...237",0.5,1.5,0.75,-1.5,0.0224848000000001,0.00413959999999991,0.00467280000000003,0.3257942,0.0224848000000001,0.00467569999999995,0.00356509999999999,0.3257942,0.000571600000000005,-0.000536100000000039,0.0237329000000001,0.00467569999999995,0.00356509999999999,0.3145448,0.0105686,-0.000536100000000039,0.02269,0.00126420000000005,0.00750339999999994,0.3256981,-6.43000000000171e-05,0.00287539999999986
"Ys0...238",0.5,1.5,0.75,-1,0.0186018999999999,0.00227660000000007,0.00764829999999994,0.228313,0.0186018999999999,0.00345449999999992,0.00535340000000006,0.228313,0.00111700000000003,-0.00117789999999984,0.0166798,0.00345449999999992,0.00535340000000006,0.2295204,0.00188169999999999,-0.00117789999999984,0.0186546000000001,-0.00262870000000004,0.0125540000000001,0.2285903,-0.000330400000000064,0.00490530000000011
"Ys0...239",0.5,1.5,0.75,1,0.0158963,-5.90000000000312e-05,0.0106102,0.0350761000000001,0.0158963,0.0016931,0.00674260000000004,0.0350761000000001,0.00211549999999994,-0.00175210000000003,0.0100705,0.0016931,0.00674260000000004,0.0410459,0.00189630000000007,-0.00175210000000003,0.0159718,-0.00850030000000002,0.0190041000000001,0.0351180999999999,-7.00999999999619e-05,0.00844129999999998
"Ys0...240",0.5,1.5,0.75,1.5,0.0158972000000001,-0.000139100000000059,0.0106628,0.0283358,0.0158972000000001,0.00165470000000001,0.00682970000000005,0.0283358,0.00203929999999986,-0.00179380000000007,0.00987690000000008,0.00165470000000001,0.00682970000000005,0.0309887,0.00532809999999995,-0.00179380000000007,0.0158887,-0.00868579999999997,0.0192555999999999,0.0281969,0.000101300000000082,0.00854669999999991
"Ys0...241",1.5,-1.5,-0.75,-1.5,NA,NA,NA,0.0247263,NA,NA,NA,0.0247263,NA,NA,NA,NA,NA,0.1141348,NA,NA,0.0474912000000001,-0.00140200000000001,0.0142373,0.0248763,NA,NA
"Ys0...242",1.5,-1.5,-0.75,-1,NA,NA,NA,0.0247263,NA,NA,NA,0.0247263,NA,NA,NA,NA,NA,0.0895627,NA,NA,0.0482577000000001,-0.00980610000000004,0.0226414,0.0248763,NA,NA
"Ys0...243",1.5,-1.5,-0.75,1,NA,NA,NA,0.0247263,NA,NA,NA,0.0247263,NA,NA,NA,NA,NA,0.0216902999999999,NA,NA,0.0487147,-0.0187826,0.0316179,0.0248763,NA,NA
"Ys0...244",1.5,-1.5,-0.75,1.5,NA,NA,NA,0.0247263,NA,NA,NA,0.0247263,NA,NA,NA,NA,NA,0.0158979,NA,NA,0.0487190000000001,-0.0190748000000001,0.0319101000000001,0.0248763,NA,NA
"Ys0...245",1.5,-1.5,-0.2,-1.5,0.0475276,-0.00275420000000004,0.0155508,0.0247796,0.0475276,0.00312319999999999,0.00404420000000005,0.0247796,0.00562919999999989,-0.00587740000000003,0.0451762999999999,0.00312319999999999,0.00404420000000005,0.1141202,-0.0813746000000001,-0.00587740000000003,0.0476941000000001,-0.00158429999999998,0.0142108,0.0248391,-5.59000000001086e-05,-0.00116990000000006
"Ys0...246",1.5,-1.5,-0.2,-1,0.0483107,-0.0119629,0.0247594999999999,0.0247796,0.0483107,-0.00269969999999997,0.00655099999999997,0.0247796,0.00894529999999993,-0.00926320000000003,0.0440043999999999,-0.00269969999999997,0.00655099999999997,0.0895944,-0.0516076,-0.00926320000000003,0.0484800000000001,-0.0100107,0.0226372,0.0248391,-5.87000000000781e-05,-0.00195219999999996
"Ys0...247",1.5,-1.5,-0.2,1,0.0487748,-0.0218013,0.0345979,0.0247796,0.0487748,-0.00882930000000004,0.00917579999999996,0.0247796,0.0124501,-0.012972,0.0423643,-0.00882930000000004,0.00917579999999996,0.0215477000000001,0.0220273999999999,-0.012972,0.0489424000000001,-0.0189581,0.0315846,0.0248391,-5.70000000000848e-05,-0.00284320000000005
"Ys0...248",1.5,-1.5,-0.2,1.5,0.0487817,-0.0221248000000001,0.0349214,0.0247796,0.0487817,-0.00902429999999999,0.00926839999999995,0.0247796,0.0125525,-0.0131005000000001,0.0423112999999999,-0.00902429999999999,0.00926839999999995,0.0157772,0.0279602,-0.0131005000000001,0.048948,-0.0192536,0.0318801,0.0248391,-5.56999999999919e-05,-0.00287120000000007
"Ys0...249",1.5,-1.5,0.2,-1.5,0.047555,-9.76999999999784e-05,0.0128763,0.0247796,0.047555,0.00312020000000002,0.00405620000000007,0.0247796,0.00560219999999989,-0.0032179,0.0451739999999999,0.00312020000000002,0.00405620000000007,0.1141202,-0.0813599,-0.0032179,0.0476941000000001,-0.00158429999999998,0.0142108,0.0248391,-4.65000000000604e-05,0.0014866
"Ys0...250",1.5,-1.5,0.2,-1,0.0483389,-0.00772870000000003,0.0205073,0.0247796,0.0483389,-0.00267859999999998,0.00656840000000003,0.0247796,0.00888879999999992,-0.00505010000000006,0.0439935,-0.00267859999999998,0.00656840000000003,0.0895944,-0.0516076000000001,-0.00505010000000006,0.0484800000000001,-0.0100107,0.0226372,0.0248391,-4.85000000001179e-05,0.00228200000000001
"Ys0...251",1.5,-1.5,0.2,1,0.0488071,-0.0158885,0.0286670999999999,0.0247796,0.0488071,-0.00879220000000003,0.0091715,0.0247796,0.0123993,-0.00709629999999994,0.0423319,-0.00879220000000003,0.0091715,0.0215477000000001,0.022037,-0.00709629999999994,0.0489424000000001,-0.0189581,0.0315846,0.0248391,-4.27000000000621e-05,0.00306960000000001
"Ys0...252",1.5,-1.5,0.2,1.5,0.0488136,-0.016157,0.0289356,0.0247796,0.0488136,-0.00898779999999999,0.00926309999999997,0.0247796,0.0125033,-0.00716919999999999,0.0422798,-0.00898779999999999,0.00926309999999997,0.0157772,0.0279691,-0.00716919999999999,0.048948,-0.0192536,0.0318801,0.0248391,-4.17999999999807e-05,0.0030966
"Ys0...253",1.5,-1.5,0.75,-1.5,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,NA,0.1141184,NA,NA,0.0475166,-0.00144180000000005,0.0141471,0.0249033000000001,NA,NA
"Ys0...254",1.5,-1.5,0.75,-1,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,NA,0.0896925000000001,NA,NA,0.0482980000000001,-0.0099013,0.0226065999999999,0.0249033000000001,NA,NA
"Ys0...255",1.5,-1.5,0.75,1,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,NA,0.0216360999999999,NA,NA,0.0487573,-0.0188831,0.0315884,0.0249033000000001,NA,NA
"Ys0...256",1.5,-1.5,0.75,1.5,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,NA,0.0159227000000001,NA,NA,0.0487625,-0.0191665000000001,0.0318718,0.0249033000000001,NA,NA
"Ys0...257",1.5,-1,-0.75,-1.5,NA,NA,NA,0.0605694,NA,NA,NA,0.0605694,NA,NA,NA,NA,NA,0.1384632,NA,NA,0.0280828,0.00469330000000001,0.0137374,0.0606902,NA,NA
"Ys0...258",1.5,-1,-0.75,-1,NA,NA,NA,0.0534218000000001,NA,NA,NA,0.0534218000000001,NA,NA,NA,NA,NA,0.1095018,NA,NA,0.0242829999999999,-0.0018918,0.0217524,0.0536059,NA,NA
"Ys0...259",1.5,-1,-0.75,1,NA,NA,NA,0.0360463000000001,NA,NA,NA,0.0360463000000001,NA,NA,NA,NA,NA,0.0308191,NA,NA,0.01364,-0.00667379999999995,0.0297750999999999,0.0361189000000001,NA,NA
"Ys0...260",1.5,-1,-0.75,1.5,NA,NA,NA,0.0336494000000001,NA,NA,NA,0.0336494000000001,NA,NA,NA,NA,NA,0.0235235,NA,NA,0.0121886999999999,-0.0064169999999999,0.029944,0.0336827,NA,NA
"Ys0...261",1.5,-1,-0.2,-1.5,0.0281504,0.00355190000000005,0.0147950999999999,0.0606196999999999,0.0281504,0.0084554,0.00518950000000007,0.0606196999999999,0.00470209999999993,-0.00490349999999995,0.0269927,0.0084554,0.00518950000000007,0.1385739,-0.0720888000000001,-0.00490349999999995,0.0282771000000001,0.00449129999999998,0.0137271999999999,0.0606642000000001,-4.27000000000621e-05,-0.000939399999999924
"Ys0...262",1.5,-1,-0.2,-1,0.0243559999999999,-0.00363389999999997,0.0234175,0.0535421,0.0243559999999999,0.00388810000000006,0.00862419999999997,0.0535421,0.00727129999999998,-0.00752200000000003,0.0216065,0.00388810000000006,0.00862419999999997,0.1095808,-0.0460112,-0.00752200000000003,0.0244614,-0.0020656,0.0217386000000001,0.0535901999999999,-4.28999999999569e-05,-0.00156829999999997
"Ys0...263",1.5,-1,-0.2,1,0.0137117,-0.00886799999999999,0.0319202,0.0361126000000001,0.0137117,0.000620100000000012,0.0133496,0.0361126000000001,0.00908249999999999,-0.0094881,0.0100148,0.000620100000000012,0.0133496,0.0306399000000001,0.0182782,-0.0094881,0.0137544999999999,-0.00676549999999998,0.0297552,0.0362019,-6.9599999999892e-05,-0.00210250000000001
"Ys0...264",1.5,-1,-0.2,1.5,0.0122409,-0.00858720000000002,0.032081,0.0336914,0.0122409,0.000821599999999978,0.0137189,0.0336914,0.00895330000000005,-0.00940879999999999,0.00864620000000005,0.000821599999999978,0.0137189,0.0233726,0.0229204000000001,-0.00940879999999999,0.0122813000000001,-0.00650519999999999,0.0299242999999999,0.0337467,-2.09999999999377e-05,-0.00208200000000003
"Ys0...265",1.5,-1,0.2,-1.5,0.0281724,0.00577709999999998,0.012563,0.0606196999999999,0.0281724,0.00844860000000003,0.0052025,0.0606196999999999,0.00468899999999994,-0.00267150000000005,0.0269971999999999,0.00844860000000003,0.0052025,0.1385739,-0.0720714000000001,-0.00267150000000005,0.0282771000000001,0.00449129999999998,0.0137271999999999,0.0606642000000001,-2.76000000001275e-05,0.0012858
"Ys0...266",1.5,-1,0.2,-1,0.0243661999999999,-0.000160399999999949,0.0199454,0.0535421,0.0243661999999999,0.00390030000000008,0.00863440000000004,0.0535421,0.00725029999999993,-0.00406070000000003,0.0216058,0.00390030000000008,0.00863440000000004,0.1095808,-0.0460111000000001,-0.00406070000000003,0.0244614,-0.0020656,0.0217386000000001,0.0535901999999999,-3.12999999999564e-05,0.00190520000000005
"Ys0...267",1.5,-1,0.2,1,0.0137153999999999,-0.00450200000000001,0.0275647,0.0361126000000001,0.0137153999999999,0.000635900000000023,0.0133521,0.0361126000000001,0.00907469999999999,-0.00513790000000003,0.0100027,0.000635900000000023,0.0133521,0.0306399000000001,0.0182886999999999,-0.00513790000000003,0.0137544999999999,-0.00676549999999998,0.0297552,0.0362019,-5.53999999999277e-05,0.00226349999999997
"Ys0...268",1.5,-1,0.2,1.5,0.0122534000000001,-0.00427640000000007,0.0277718,0.0336914,0.0122534000000001,0.000836700000000024,0.0137137000000001,0.0336914,0.00894499999999987,-0.00511310000000009,0.00863380000000002,0.000836700000000024,0.0137137000000001,0.0233726,0.0229318000000001,-0.00511310000000009,0.0122813000000001,-0.00650519999999999,0.0299242999999999,0.0337467,-6.89999999992086e-06,0.00222879999999992
"Ys0...269",1.5,-1,0.75,-1.5,NA,NA,NA,0.0605889000000001,NA,NA,NA,0.0605889000000001,NA,NA,NA,NA,NA,0.1384999,NA,NA,0.0281218,0.00465599999999999,0.0136061000000001,0.0608103999999999,NA,NA
"Ys0...270",1.5,-1,0.75,-1,NA,NA,NA,0.0534595,NA,NA,NA,0.0534595,NA,NA,NA,NA,NA,0.1096086,NA,NA,0.0243378000000001,-0.00198229999999999,0.0216808999999999,0.0536862,NA,NA
"Ys0...271",1.5,-1,0.75,1,NA,NA,NA,0.0360834,NA,NA,NA,0.0360834,NA,NA,NA,NA,NA,0.0307333999999999,NA,NA,0.0136778000000001,-0.00669520000000001,0.0296843999999999,0.0362043000000001,NA,NA
"Ys0...272",1.5,-1,0.75,1.5,NA,NA,NA,0.0336348999999999,NA,NA,NA,0.0336348999999999,NA,NA,NA,NA,NA,0.0234834,NA,NA,0.0122113,-0.00642560000000003,0.0298543,0.0337694000000001,NA,NA
"Ys0...273",1.5,0,-0.75,-1.5,NA,NA,NA,0.1739539,NA,NA,NA,0.1739539,NA,NA,NA,NA,NA,0.2129786,NA,NA,0.0168274,0.00812479999999993,0.0132034000000001,0.1739725,NA,NA
"Ys0...274",1.5,0,-0.75,-1,NA,NA,NA,0.1213158,NA,NA,NA,0.1213158,NA,NA,NA,NA,NA,0.1555799,NA,NA,0.0125784999999999,0.00214970000000003,0.0210344,0.1213286,NA,NA
"Ys0...275",1.5,0,-0.75,1,NA,NA,NA,0.033705,NA,NA,NA,0.033705,NA,NA,NA,NA,NA,0.0330298,NA,NA,0.007409,-0.00466069999999996,0.0294831,0.0337254,NA,NA
"Ys0...276",1.5,0,-0.75,1.5,NA,NA,NA,0.0292039999999999,NA,NA,NA,0.0292039999999999,NA,NA,NA,NA,NA,0.0246209000000001,NA,NA,0.00722519999999993,-0.00490239999999997,0.0298518,0.0289549,NA,NA
"Ys0...277",1.5,0,-0.2,-1.5,0.0168714000000001,0.00720689999999991,0.0140194,0.1740821,0.0168714000000001,0.0110815,0.00634000000000001,0.1740821,0.00380479999999994,-0.00387460000000006,0.01727,0.0110815,0.00634000000000001,0.212904,-0.0353804,-0.00387460000000006,0.0169492999999999,0.0079783000000001,0.0131791999999999,0.1740105,6.25000000000764e-05,-0.0007714000000002
"Ys0...278",1.5,0,-0.2,-1,0.0126185,0.000661699999999987,0.0224608000000001,0.1213436,0.0126185,0.00696379999999996,0.0100756000000001,0.1213436,0.00608310000000001,-0.00630209999999998,0.0108634000000001,0.00696379999999996,0.0100756000000001,0.1555874,-0.0263683,-0.00630209999999998,0.0126974,0.00198550000000008,0.0210893999999999,0.1213786,-6.62999999999636e-05,-0.0013238000000001
"Ys0...279",1.5,0,-0.2,1,0.00744400000000001,-0.00672680000000003,0.0316234,0.0336352,0.00744400000000001,0.00238689999999997,0.0138166,0.0336352,0.00869310000000001,-0.00911369999999989,0.00373849999999998,0.00238689999999997,0.0138166,0.0332211,0.0128539,-0.00911369999999989,0.00742960000000004,-0.00465610000000005,0.029444,0.0336881999999999,7.00999999999619e-05,-0.00207069999999998
"Ys0...280",1.5,0,-0.2,1.5,0.00720909999999997,-0.00693140000000003,0.0318116000000001,0.0292665,0.00720909999999997,0.00225560000000002,0.0139299000000001,0.0292665,0.00869469999999994,-0.00918700000000006,0.00345759999999995,0.00225560000000002,0.0139299000000001,0.0246405,0.0170776,-0.00918700000000006,0.00722279999999997,-0.00483820000000001,0.0296518,0.0292265,9.28999999999514e-05,-0.00209320000000002
"Ys0...281",1.5,0,0.2,-1.5,0.0168853999999999,0.0090095,0.012216,0.1740821,0.0168853999999999,0.0110712000000001,0.00635269999999999,0.1740821,0.00380159999999996,-0.00206170000000006,0.0172762,0.0110712000000001,0.00635269999999999,0.212904,-0.0353631000000001,-0.00206170000000006,0.0169492999999999,0.0079783000000001,0.0131791999999999,0.1740105,7.57000000000119e-05,0.0010311999999999
"Ys0...282",1.5,0,0.2,-1,0.0126242999999999,0.0035866,0.0195426000000001,0.1213436,0.0126242999999999,0.00696549999999996,0.0100933000000001,0.1213436,0.00607040000000003,-0.00337889999999996,0.010868,0.00696549999999996,0.0100933000000001,0.1555874,-0.0263620999999999,-0.00337889999999996,0.0126974,0.00198550000000008,0.0210893999999999,0.1213786,-5.37999999999927e-05,0.00160109999999991
"Ys0...283",1.5,0,0.2,1,0.00742359999999997,-0.00248420000000005,0.0273997,0.0336352,0.00742359999999997,0.00238489999999991,0.0138254,0.0336352,0.00870520000000008,-0.00486909999999996,0.00374260000000004,0.00238489999999991,0.0138254,0.0332211,0.0128503,-0.00486909999999996,0.00742960000000004,-0.00465610000000005,0.029444,0.0336881999999999,6.85999999999742e-05,0.0021719
"Ys0...284",1.5,0,0.2,1.5,0.0072603,-0.00277280000000002,0.0277488,0.0292339,0.0072603,0.00222180000000005,0.013871,0.0292339,0.00888319999999998,-0.00499460000000007,0.00352069999999993,0.00222180000000005,0.013871,0.0246289,0.0172154000000001,-0.00499460000000007,0.00723610000000008,-0.00486300000000006,0.0297298,0.0291739,0.00019340000000001,0.00209020000000004
"Ys0...285",1.5,0,0.75,-1.5,NA,NA,NA,0.1738232,NA,NA,NA,0.1738232,NA,NA,NA,NA,NA,0.212913,NA,NA,0.0168499999999999,0.00807270000000004,0.0130787,0.1742196,NA,NA
"Ys0...286",1.5,0,0.75,-1,NA,NA,NA,0.1211758,NA,NA,NA,0.1211758,NA,NA,NA,NA,NA,0.1556983,NA,NA,0.0125936,0.0020637,0.0209992,0.1214412,NA,NA
"Ys0...287",1.5,0,0.75,1,NA,NA,NA,0.0336415,NA,NA,NA,0.0336415,NA,NA,NA,NA,NA,0.0330938,NA,NA,0.00744940000000005,-0.00464370000000003,0.0293753,0.0338218,NA,NA
"Ys0...288",1.5,0,0.75,1.5,NA,NA,NA,0.0292429,NA,NA,NA,0.0292429,NA,NA,NA,NA,NA,0.0246239,NA,NA,0.00721720000000003,-0.0048705,0.0297356,0.0292344999999999,NA,NA
"Ys0...289",1.5,1,-0.75,-1.5,NA,NA,NA,0.2859141,NA,NA,NA,0.2859141,NA,NA,NA,NA,NA,0.2874799,NA,NA,0.0150764999999999,0.00856840000000003,0.0125929,0.2862131,NA,NA
"Ys0...290",1.5,1,-0.75,-1,NA,NA,NA,0.1972826,NA,NA,NA,0.1972826,NA,NA,NA,NA,NA,0.2078375,NA,NA,0.0105207,0.0032586,0.020352,0.1975682,NA,NA
"Ys0...291",1.5,1,-0.75,1,NA,NA,NA,0.0341105,NA,NA,NA,0.0341105,NA,NA,NA,NA,NA,0.0381771999999999,NA,NA,0.00707600000000008,-0.00383080000000002,0.0288153999999999,0.0340560000000001,NA,NA
"Ys0...292",1.5,1,-0.75,1.5,NA,NA,NA,0.0282382000000001,NA,NA,NA,0.0282382000000001,NA,NA,NA,NA,NA,0.0286296,NA,NA,0.00707389999999997,-0.00410029999999995,0.0290326999999999,0.0281167000000001,NA,NA
"Ys0...293",1.5,1,-0.2,-1.5,0.0151074,0.00791579999999992,0.0131795,0.2860459,0.0151074,0.0107273,0.00772190000000006,0.2860459,0.00264609999999987,-0.00281150000000008,0.0166388000000001,0.0107273,0.00772190000000006,0.2875116,-0.000358700000000045,-0.00281150000000008,0.0151686,0.00847819999999999,0.0125314,0.2861751,-0.000104699999999958,-0.000562400000000074
"Ys0...294",1.5,1,-0.2,-1,0.0106046,0.00214690000000006,0.0214559,0.1974486,0.0106046,0.00709680000000001,0.0118204000000001,0.1974486,0.00468559999999996,-0.00494989999999995,0.00957570000000008,0.00709680000000001,0.0118204000000001,0.2079551,-0.00471470000000007,-0.00494989999999995,0.0105838,0.00326799999999994,0.0202422000000001,0.197322,0.000239999999999907,-0.00112109999999987
"Ys0...295",1.5,1,-0.2,1,0.00707239999999998,-0.00562569999999996,0.0306281,0.034083,0.00707239999999998,0.00218629999999997,0.0152218,0.034083,0.00759430000000016,-0.00781199999999993,0.0037758,0.00218629999999997,0.0152218,0.0382422,0.00669240000000004,-0.00781199999999993,0.00710949999999999,-0.00387020000000005,0.0287297,0.034251,-6.21999999999012e-05,-0.00175549999999991
"Ys0...296",1.5,1,-0.2,1.5,0.00710389999999994,-0.00593759999999999,0.0309543,0.0282098,0.00710389999999994,0.00200369999999994,0.0152905,0.0282098,0.00772250000000008,-0.00794129999999993,0.00367870000000003,0.00200369999999994,0.0152905,0.0287826999999999,0.0105567999999999,-0.00794129999999993,0.00709439999999995,-0.00415549999999998,0.029088,0.0282524,5.10999999999706e-05,-0.00178210000000001
"Ys0...297",1.5,1,0.2,-1.5,0.0151292000000001,0.00921669999999997,0.0118855999999999,0.2860459,0.0151292000000001,0.0107134,0.00774010000000003,0.2860459,0.0026487999999999,-0.00149670000000002,0.0166383,0.0107134,0.00774010000000003,0.2875116,-0.000315499999999913,-0.00149670000000002,0.0151686,0.00847819999999999,0.0125314,0.2861751,-7.58999999999066e-05,0.000738499999999975
"Ys0...298",1.5,1,0.2,-1,0.0105978,0.00445780000000007,0.0191581,0.1974486,0.0105978,0.00707049999999998,0.0118461000000001,0.1974486,0.00469929999999996,-0.00261269999999991,0.0096075000000001,0.00707049999999998,0.0118461000000001,0.2079551,-0.00471390000000005,-0.00261269999999991,0.0105838,0.00326799999999994,0.0202422000000001,0.197322,0.000246299999999922,0.00118980000000013
"Ys0...299",1.5,1,0.2,1,0.00710449999999996,-0.00205820000000001,0.0270847,0.0340346,0.00710449999999996,0.00220999999999993,0.0152329999999999,0.0340346,0.00758350000000008,-0.00426819999999994,0.00376520000000002,0.00220999999999993,0.0152329999999999,0.0381697000000001,0.00675089999999989,-0.00426819999999994,0.00705549999999999,-0.00384440000000008,0.0287862000000001,0.0341536,1.46999999999231e-05,0.00178620000000007
